URL,Name,Father,Mother,Andal,Braavosi,First Men,Ghiscari,Ironborn,Lysene,Rhoynar,Summer Islander,Unknown,Valyrian,YiTish
https://awoiaf.westeros.org/index.php/A_certain_man,A certain man,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
https://awoiaf.westeros.org/index.php/Abelar_Hightower,Abelar Hightower,https://awoiaf.westeros.org/index.php/House_Hightower,https://awoiaf.westeros.org/index.php/House_Hightower,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://awoiaf.westeros.org/index.php/Abelon,Abelon,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
https://awoiaf.westeros.org/index.php/Addam_of_Duskendale,Addam of Duskendale,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
https://awoiaf.westeros.org/index.php/Addam_Frey,Addam Frey,https://awoiaf.westeros.org/index.php/House_Frey,https://awoiaf.westeros.org/index.php/House_Frey,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://awoiaf.westeros.org/index.php/Manfred_Hightower_(Aegon%27s_Conquest),Manfred Hightower (Aegon's Conquest),https://awoiaf.westeros.org/index.php/House_Hightower,https://awoiaf.westeros.org/index.php/House_Hightower,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://awoiaf.westeros.org/index.php/Addam_Hightower,Addam Hightower,https://awoiaf.westeros.org/index.php/Manfred_Hightower_(Aegon%27s_Conquest),https://awoiaf.westeros.org/index.php/House_Hightower,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://awoiaf.westeros.org/index.php/Damon_Marbrand,Damon Marbrand,https://awoiaf.westeros.org/index.php/House_Marbrand,https://awoiaf.westeros.org/index.php/House_Marbrand,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://awoiaf.westeros.org/index.php/Addam_Marbrand,Addam Marbrand,https://awoiaf.westeros.org/index.php/Damon_Marbrand,https://awoiaf.westeros.org/index.php/House_Marbrand,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://awoiaf.westeros.org/index.php/Eustace_Osgrey,Eustace Osgrey,https://awoiaf.westeros.org/index.php/House_Osgrey,https://awoiaf.westeros.org/index.php/House_Osgrey,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
